472,  5518,3068.83, Alessandra
143,  5256,987.85,  Ronaldo
361,  3376,224.58,  Larissa
1109, 1109, 224.58, Miguel
2111, 2111, 224.58, Davi
3121, 3121, 224.58, Arthur
4131, 4131, 224.58, Pedro
5141, 5141, 224.58, Gabriel
6151, 6151, 224.58, Bernardo
7161, 7161, 224.58, Lucas
8171, 8171, 224.58, Matheus
9181, 9181, 224.58, Rafael
1019, 1019, 224.58, Heitor
1120, 1120, 224.58, Enzo
1221, 1221, 224.58, Guilherme
1322, 1322, 224.58, Nicolas
1423, 1423, 224.58, Lorenzo
1524, 1524, 224.58, Gustavo
1625, 1625, 224.58, Felipe
1726, 1726, 224.58, Samuel
1827, 1827, 224.58, João Pedro
1928, 1928, 224.58, Daniel
2029, 2029, 224.58, Vitor
2130, 2130, 224.58, Leonardo
2231, 2231, 224.58, Henrique
2332, 2332, 224.58, Theo
2433, 2433, 224.58, Murilo
2534, 2534, 224.58, Eduardo
2635, 2635, 224.58, Pedro Henrique
2736, 2736, 224.58, Pietro
2837, 2837, 224.58, Cauã
2938, 2938, 224.58, Isaac
3039, 3039, 224.58, Caio
3140, 3140, 224.58, Vinicius
3241, 3241, 224.58, Benjamin
3342, 3342, 224.58, João
3443, 3443, 224.58, Lucca
3544, 3544, 224.58, João Miguel
3645, 3645, 224.58, Bryan
3746, 3746, 224.58, Joaquim
3847, 3847, 224.58, João Vitor
3948, 3948, 224.58, Thiago
4049, 4049, 224.58, Antônio
4150, 4150, 224.58, Davi Lucas
4251, 4251, 224.58, Francisco
4352, 4352, 224.58, Enzo Gabriel
4453, 4453, 224.58, Bruno
4554, 4554, 224.58, Emanuel
4655, 4655, 224.58, João Gabriel
4756, 4756, 224.58, Ian
4857, 4857, 224.58, Davi Luiz
4958, 4958, 224.58, Rodrigo
472,  5518, 3068.83, Alessandra
143,  5256, 987.85, Ronaldo
361,  3376, 224.58, Larissa
1109, 1109, 224.58, Miguel
2111, 2111, 224.58, Davi
3121, 3121, 224.58, Arthur
4131, 4131, 224.58, Pedro
5141, 5141, 224.58, Gabriel
6151, 6151, 224.58, Bernardo
7161, 7161, 224.58, Lucas
8171, 8171, 224.58, Matheus
9181, 9181, 224.58, Rafael
1019, 1019, 224.58, Heitor
1120, 1120, 224.58, Enzo
1221, 1221, 224.58, Guilherme
1322, 1322, 224.58, Nicolas
1423, 1423, 224.58, Lorenzo
1524, 1524, 224.58, Gustavo
1625, 1625, 224.58, Felipe
1726, 1726, 224.58, Samuel
1827, 1827, 224.58, João Pedro
1928, 1928, 224.58, Daniel
2029, 2029, 224.58, Vitor
2130, 2130, 224.58, Leonardo
2231, 2231, 224.58, Henrique
2332, 2332, 224.58, Theo
2433, 2433, 224.58, Murilo
2534, 2534, 224.58, Eduardo
2635, 2635, 224.58, Pedro Henrique
2736, 2736, 224.58, Pietro
2837, 2837, 224.58, Cauã
2938, 2938, 224.58, Isaac
3039, 3039, 224.58, Caio
3140, 3140, 224.58, Vinicius
3241, 3241, 224.58, Benjamin
3342, 3342, 224.58, João
3443, 3443, 224.58, Lucca
3544, 3544, 224.58, João Miguel
3645, 3645, 224.58, Bryan
3746, 3746, 224.58, Joaquim
3847, 3847, 224.58, João Vitor
3948, 3948, 224.58, Thiago
4049, 4049, 224.58, Antônio
